	astro|GSM1901309|8yo_ctx	astro|GSM1901310|13yo_ctx	astro|GSM1901314|35yo_ctx	astro|GSM1901317|53yo_ctx	myeloid|GSM1901339|45yo_ctx	myeloid|GSM1901340|51yo_ctx	myeloid|GSM1901341|63_yo_ctx	oligo|GSM1901334|22yo_ctx	oligo|GSM1901335|63yo_ctx_A	oligo|GSM1901337|47yo_ctx	dopamine|GSM2027430|VTA	dopamine|GSM2027431|VTA	dopamine|GSM2027423|SNc	motor|88_Control_GSM1977034	motor|GSM2027414|spinal	motor|Spinal_motor_neuron_control_rep5_GSM3615504
ENSG00000172538.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000172543.8	0	0	0	0	0	0.64	0	0	0.13	0	0	1	0	0	0	0
ENSG00000172548.14	0	0	0.96	0	0.3	0.11	0.33	3.49	5.57	0.4	0	0	0	1	0	0
ENSG00000172551.11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000172554.12	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1
ENSG00000172568.5	0.98	1.72	1.78	1.01	0	0	0.32	0.04	0	1.83	0.07	7	29	5	7	0
ENSG00000172572.6	15.2	22.63	16.41	8.8	0.34	0.6	0.14	0.54	0.04	0.44	7	4	0	4	0	0
ENSG00000172575.12	4	2.03	2.15	1.1	1.53	0.26	0.26	1.75	0.26	0.53	3	0	13	63.45	0	21
ENSG00000172578.12	0	0	0.14	0.46	75.32	81.82	45.82	3.87	0.26	1.88	0	0	2	0	0	0
ENSG00000172586.8	18.04	14.51	21.5	14.31	14.59	7.82	13.2	8.27	5.4	9.74	41	121	80	34	19	31
ENSG00000172590.18	5.94	12.24	7.67	4.08	18.99	24.71	35.58	24.77	31.68	2.85	78	62	164	34	51	59
ENSG00000172594.13	2.28	1.97	8.39	2.17	1.31	0.68	2.28	0.36	2.52	2.54	41	54	64	27	0	1
ENSG00000172602.11	4.69	3.3	22.1	6.34	0	0.12	0	0.95	0.93	0	15	17	29	8	0	0
ENSG00000172613.8	3.81	2.67	1.62	1.5	0	0.24	0.42	0	0.21	0	3.4	10.67	27.18	1	0	0
ENSG00000172638.13	31.35	16.88	20.41	12.12	5.75	1.85	3.61	2.05	0.92	1.21	1	8	2	4	0	0
ENSG00000172640.3	3.21	4.18	4.11	1.47	0.85	0.62	2.72	0	0.41	0.74	0	0	0	19	0	0
ENSG00000172650.13	1.08	2	0.78	3.42	8.88	4.53	3.63	0	1.23	0	8.06	1.01	0	0	14.07	0
ENSG00000172661.18	15.41	19.5	22.36	21.23	14.5	16.58	9.61	13.99	8.51	8.54	53.86	72.72	116.61	569.41	0	85.85
ENSG00000172663.9	1.07	2.44	3.27	3.19	0	0.2	0.36	0.68	0.76	0	6	44	29	1	0	10
ENSG00000172667.11	21.76	24.81	34.04	31.94	23.32	19.15	18.11	8.65	4.35	21.03	181	583	368	916	58	68
ENSG00000172671.19	2.36	5.41	7.68	8.98	4.72	3.05	12.2	4.04	6.61	10.14	2	24	13	15	0	3
ENSG00000172673.10	0	0	0	0.1	0	0.13	0	0.44	1.06	0.55	0	0	0	0	0	0
ENSG00000172680.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172687.13	2.79	4.01	5.26	1.44	6.6	2.38	3.73	3.33	8.55	6.52	12	26	25	192	30	3
ENSG00000172689.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000172716.16	0	0.07	0.12	0.48	20.68	13.87	14.38	1.29	0.25	1.03	1	0	0	35	0	8
ENSG00000172717.16	0	0	0.2	0.19	0	0	0	0	0.11	0	0	0	0	2	0	1
ENSG00000172724.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172725.14	0.73	1.32	0.78	0.8	0	0.04	0.11	0.13	0.09	0	23	71	66	0	0	0
ENSG00000172728.15	54.02	38.37	72.58	86.73	6.65	4.59	4.54	1.25	0.99	5.12	2	11	28	101	0	1
ENSG00000172731.14	3.94	1.56	2.16	0.95	0	0.13	0.59	0.42	0.22	0.3	22	136	90	28	26	57
ENSG00000172732.12	18.89	18.56	26.73	15.79	10.09	10.87	17.41	13.35	9.13	10.02	14	32	63	18	4	2
ENSG00000172733.11	9.33	19.2	20.87	19.14	1.05	0.06	0.39	2.16	0.34	5.37	22	84	61	146	42	13
ENSG00000172738.12	0	0.18	0.13	1.25	2.14	1.51	2.79	0.92	0.12	0	5.48	0	1.13	2	0	4
ENSG00000172742.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52	0
ENSG00000172746.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172748.14	6.34	13.75	14.91	10.72	3.85	1.43	0.45	2.55	3.51	3.67	5.57	11.5	7	22	22.74	0
ENSG00000172752.14	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0
ENSG00000172757.13	75.15	24.12	44.58	28.02	16	72.78	72.56	30.74	42.95	20	1100	1914.46	1845	609	402.95	567
ENSG00000172765.17	15.81	21.29	36.85	31.77	12.54	7.46	7.45	17.71	12.28	25.52	89	345	271	406	63	22
ENSG00000172766.19	3.18	7.46	17.32	13.02	10.51	8.38	9.25	5.19	6.23	10.02	11	63	59	26	17	40
ENSG00000172769.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172771.12	0.3	0.57	0.32	0.1	0.17	0.43	0.37	0	0.03	0	1	4	24	1	0	0
ENSG00000172772.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172775.17	48.78	60.51	155.89	107.86	54.13	35.14	47.49	78.92	88.13	71.84	86	205	220	867.93	53	10
ENSG00000172780.16	0	0	0	0	0	0	1.48	0	0	0	0	3.19	1	0	0	1.35
ENSG00000172782.11	0	0	0	0	0	0	0	0	0	0	11	19	61	13	27.17	1
ENSG00000172785.18	11.95	21.48	34.82	47.23	69.61	43.02	76.43	15.62	7	14.87	61.15	178.71	149.55	56.06	64.79	14.03
ENSG00000172789.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172794.20	2.83	1.08	1.56	0.94	0	0.26	0.3	0	0.31	0	13	38	17	19	7	4
ENSG00000172795.16	19.77	21.7	34.74	20.31	55.98	45.11	30.94	24.89	11.79	15.62	42.81	169.83	116.69	194	25.76	31
ENSG00000172799.5	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26	0	0
ENSG00000172803.18	5.63	1.07	1.94	2.06	1.9	0.24	0.59	0	0.07	0	16	66.54	24	10	4.05	1
ENSG00000172809.13	118.16	131.39	106.31	157.56	143.91	712.47	708.03	500.54	573.78	263.04	320	348	362	211	87	42
ENSG00000172817.4	25.27	41.55	61.38	44.02	0.13	0.19	0.53	10.42	15.92	15.69	12	55	50	1102	0	1
ENSG00000172818.10	1.5	0.08	0.36	0	0	0.73	1.02	0.2	0	0	0	2	0	0	0	0
ENSG00000172819.17	4.58	0.79	5.87	1.1	2.73	0.54	0.25	0.23	0.5	0.61	0	0	0	1	0	0
ENSG00000172824.16	0	0.22	1.3	0.83	1.77	1.44	2.67	10.65	9.46	2.96	19	35.97	74.62	7	16	10
ENSG00000172828.13	0	0.68	0	0.53	0	0	0.12	0	0.05	0	0	2	3	0	0	0
ENSG00000172830.13	15.19	2.25	1.78	6.04	0	2.67	5.55	0	8.97	0	4	6	13	1	1	0
ENSG00000172831.12	5.23	3.81	5.52	1.6	0	1.24	0.93	0.33	1.35	1.11	36.37	25.43	35.3	20.04	12	7
ENSG00000172840.6	5.21	6.24	9.92	5.03	0.94	0.59	0.47	1.69	2.46	2.17	24	120	34	175	34	34
ENSG00000172845.15	16.74	32.67	37.34	33.66	67.24	66.22	73.56	13.8	22.41	31.31	23	75	40	188	1	18
ENSG00000172867.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172869.14	26.8	53.82	60.64	70.3	71.65	30.14	19.25	8.96	24.75	36.38	75	235	206	1656	53	24
ENSG00000172878.14	3.84	3.55	4.55	3.28	1.96	0.77	1.4	1.94	2.26	1.88	2	0	16	23	15	0
ENSG00000172888.12	8.47	11.64	18.56	15.7	27.59	5.02	5.65	4.07	10.81	12.03	16	6	22	120	11	1
ENSG00000172889.16	0	0	0	0	0	0	0	0	0	0	55	214	242	0	109	185
ENSG00000172890.12	10.6	5.71	10.16	6.6	9.28	10.98	14.5	7.24	7.75	9.2	19	34	47	37	10	21.21
ENSG00000172893.15	22.47	14.69	10.39	9.53	0.39	0.78	1.87	3.7	4.77	4.59	37	102	110	70	31	71
ENSG00000172900.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172901.20	0	0.05	0	0.17	0	0.08	0	0	0	1.22	1	0	0	0	0	0
ENSG00000172912.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172915.18	3.68	6.11	5.25	8.21	8.6	4.77	4.46	2.58	4.32	5.77	178.87	497.93	414	1093.38	58	53
ENSG00000172922.9	6.9	3.45	13.71	3.29	5.67	6.93	11.89	6.49	4.11	5.21	15	21	55	5	1	0
ENSG00000172927.8	0	0	0	0	0	0.16	0.48	0	0	0	0	0	0	0	0	0
ENSG00000172932.14	1.68	1.61	1.4	1.63	1.56	0.66	1.81	0	0.7	0.45	36	117	137	16	43	101
ENSG00000172935.9	0.52	0.49	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172936.14	8.03	5.29	6.41	4.89	10.85	15.61	20.91	8.65	0.66	3.67	0	0	0	9	0	0
ENSG00000172938.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172939.9	5.8	10.23	13.59	8.78	36.96	12.72	15.92	5.37	6.08	8.58	45	76	91	153	6	3
ENSG00000172940.12	0	0	0	0.18	0	0.23	0	0	0	0	0	0	3	0	0	0
ENSG00000172943.19	9.68	5.05	12.31	11.58	17.97	13.56	8.72	5.48	6.47	5.67	11	29	31	196	1	12
ENSG00000172954.13	9.27	12.6	19.75	13.76	3.39	4.7	4.23	6.64	1.85	7.9	36	88	67	305	24	16
ENSG00000172955.17	0	0.58	1.12	0.17	0	0	0	0.18	0	0	0	0	0	0	0	0
ENSG00000172965.16	0.29	0.03	0.43	0.56	9.94	11.83	29.08	5.34	1.33	0.23	37.06	51.29	138.43	85.88	17.66	52.78
ENSG00000172967.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172969.7	0	0.25	0	1	0	0	0	0	0	0	0	0	3.75	0	0	0
ENSG00000172971.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172974.11	2.33	4.23	2.63	4.26	1.59	0.27	0.64	0.92	0.97	0.66	0	0	0	17.68	1.27	0
ENSG00000172977.13	10.95	7.95	18.87	13.24	0.63	6.84	7.94	4.52	6.29	2.28	7	22	37	39	9	18
ENSG00000172985.10	2.67	1.64	4.04	1.43	8.5	6.91	5.85	1.41	0.24	1.38	11	39	79	77	0	2
ENSG00000172986.12	1.61	2.73	0.56	3.76	0.31	0	0.39	3.91	3.09	6.54	1	0	0	1	0	0
ENSG00000172987.12	8.64	27.23	3.26	20.81	0	0	0	0	0.1	0.26	2	0	0	19	0	0
ENSG00000172992.12	51.14	24.33	46.25	24.4	0.51	1.91	2.63	3.7	6.97	2.01	537	959	1146	141.98	136	101
ENSG00000172995.16	3.3	2.12	10.72	1.96	2.34	1	2.39	16.67	13.12	41.4	5	13	9	212	18	19
ENSG00000173011.12	5.57	2.99	5	3.01	1.57	2.78	2.58	2.85	1.9	3.03	20	44	50	106	28	38
ENSG00000173013.5	0.67	1.79	4.2	1.56	0	0	0.11	0	0.4	0.65	2	33	19	12	6	6
ENSG00000173020.11	1.84	0.61	3.14	0.82	0	1.78	3.18	0	1.05	0	22	181	130	4	3	47
ENSG00000173039.19	24.24	12.7	28.58	15	12.46	20.81	12.26	3.13	5.23	4.52	15	32	29	24	19	0
ENSG00000173040.13	1.03	1.08	1.24	1.22	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173041.12	45.6	67.76	71.92	80.66	6.47	2.46	2.18	6.56	13.08	20.88	4	36.17	15.14	123.86	0	0
ENSG00000173064.13	35.93	75.03	101.17	57.94	23.52	13.73	17.9	25.74	16.88	20.63	214	729	772.47	1230	148	73
ENSG00000173065.13	10.91	9.95	11.42	9.35	2.44	2.29	2.36	4.72	4.56	5.95	63	171	147	263	22	16
ENSG00000173068.18	0.52	0	0.04	2.02	22.43	14.58	12.25	1.61	0.28	0.32	77	256	185	1	0	5
ENSG00000173077.15	0	0	0	0	2.62	0	0	0	0.11	0	0	0	0	0	0	0
ENSG00000173080.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173083.15	0	0.03	0	0	8.53	18.65	11.84	2.26	0.73	1.21	0	0	0	0	0	0
ENSG00000173085.14	2	3.71	9.74	2.69	12.52	8.9	7.19	3.65	1.7	1.18	3	3	19	55	27	0
ENSG00000173093.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173110.8	18.2	5.61	5.26	2.99	16.97	31.26	43.1	19.65	7.33	8.52	0	0	0	3	0	0
ENSG00000173113.6	14.28	15.09	18.07	13.49	24.08	58.53	94.34	35.77	54.51	27.7	175.43	435.46	427.85	961.77	321.77	202.81
ENSG00000173114.13	43.56	68.4	52.45	33.1	2.27	0.95	0	7.86	1.79	18.36	180	309	634	133	16	15
ENSG00000173120.15	16.02	14.65	14.98	13.02	44.48	18.25	18.34	5.02	5.57	2.72	17	160	86	353	54	74
ENSG00000173124.14	0	0	0.34	0.13	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000173137.12	0.14	0	0.48	0	0	0	0	0	0	0	1	22	13	1	21	1
ENSG00000173141.5	7.1	6.19	6.56	2.38	1.38	2.85	4.05	3.61	2.74	2.01	83	115	95	144	84	26
ENSG00000173145.11	4.82	6.13	8.32	9.82	13.69	5.88	4.96	1.56	4.27	3.26	20	39	39	242	22	4
ENSG00000173153.14	2.25	1.89	0.78	0.68	0	0.51	0.81	0.3	0.6	0.2	4.57	12.54	10.15	2.23	4.58	34.19
ENSG00000173156.7	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ENSG00000173157.16	0	0	0	0	0	0	0	0.22	0	0	0	1	0	0	0	0
ENSG00000173163.10	20.62	14.45	26.26	13.51	9.15	26.1	11.51	34.34	19.94	11.57	40	67	41.32	90	10	3
ENSG00000173166.18	5.99	8.34	13.31	10.9	146.56	119.33	62.31	11.08	3.41	13.33	121.57	215.94	447.49	3148.43	14.81	40
ENSG00000173171.14	15.02	2.63	9.66	3.73	0.39	0.07	0.67	0.28	0.37	0.34	25.23	86.74	20.18	66	17	7.57
ENSG00000173175.14	1.64	0.29	1.55	0.6	0	0.21	0.13	1.57	2.9	0.53	99	492	548	125.93	52.52	46
ENSG00000173193.15	11.16	18.71	23.49	20.59	134.28	83.65	75.22	8.74	3.67	10.97	1	3	1	32	0	0
ENSG00000173198.6	0	0	0.11	0.54	29.84	15	13.09	3.39	0.3	0.8	0	0	0	1	0	0
ENSG00000173200.13	0	0	0	0.06	6.3	7.09	5.5	0.8	0	0	0	0	0	0	0	0
ENSG00000173207.13	2.35	8.57	20.06	13.58	12.44	10.24	12.07	13.59	22.68	16.34	9	21	11.21	69	0	65.36
ENSG00000173208.4	21.82	35.54	29.72	28.23	0	0	0.1	0.37	0.07	0.4	13	34	32	201	18	6
ENSG00000173209.23	18.27	20.29	31.51	55.08	91.56	46.59	54.48	22.33	44.08	51.75	34.01	42.11	138.41	27.63	2.32	8
ENSG00000173210.19	7.15	4.12	11.03	9.25	0.94	0.13	0.89	2.46	2.4	2.09	30	95	69	306	10	43
ENSG00000173212.4	0	0	0.37	0.09	0	0	0	0.19	0	0	0	4	6	11	1	1
ENSG00000173213.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173214.5	1.58	1.38	2.46	1.94	2.11	2.15	1.61	0.39	0.52	0.49	2.01	21.28	13.09	32	1	1
ENSG00000173218.15	1.36	1.43	1.81	2.74	0	0	0.11	0.4	0.02	0.53	4	16	9	188	4	19
ENSG00000173221.14	5.44	9.69	13.21	6.09	180.14	107.42	74.54	26.7	7.67	20.01	21	20	85	890	127	97
ENSG00000173226.17	13.87	10.24	26.12	17.48	26.05	20.32	17.23	3.09	7.07	11.96	14	45	28	104	0	3
ENSG00000173227.14	0.68	0.4	1.25	0.32	0	0	0	0	0	0	4	46	16	40	120	143
ENSG00000173230.15	27.08	72.24	56.55	93.97	80.36	27.63	26.62	5.29	18.79	17.44	114	215	196	5776	98	86
ENSG00000173231.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173237.4	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173239.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173250.2	0	0.05	0	0.19	0.65	0.24	1.04	0	0	0.56	0	0	0	3	0	0
ENSG00000173253.15	0	0	1.09	0.22	0	0	0	0.5	9.84	0.99	0	0	0	43	1	2
ENSG00000173258.12	8.07	8.91	18.07	27.46	3.25	1.79	3.57	10.89	18.11	22.41	14	36	42	358	3	5
ENSG00000173261.9	0	0.36	1.65	0.47	0.55	0.4	0.35	0.66	0.7	0.47	2	0	1	0	0	0
ENSG00000173262.11	0	0	0	0.18	0	0	0	0	0	0	0	0	0	8.01	0	0
ENSG00000173264.14	5.75	1.92	3.31	2.41	0	0	0	0	0	0	21	197	163	5	8	87
ENSG00000173267.14	21.83	5.86	18.74	5.96	0	0	0	0	0	0	1204	2423	2848	281	773	954
ENSG00000173269.14	0.58	1.14	1.61	0.48	0	1.13	0	0.29	0	0.1	0	2	9	4	0	0
ENSG00000173272.16	4.35	3.51	2.42	0.1	0	0.28	0.08	0	1.04	1.05	44.15	82.46	122.45	10	20.45	22.64
ENSG00000173273.16	20.16	20.72	34.17	29.51	10.81	8.23	10.42	16.79	41.32	36.59	73	225	196	1681	84	52
ENSG00000173275.12	2.19	5.78	5.56	6.01	5.18	1.82	3.66	0.47	1.59	1.37	7	68	55	36	0	0
ENSG00000173276.14	14.61	10.02	17.08	10.68	33.71	15.21	11.79	3.24	6.3	17.54	12	66	40	54	4	0
ENSG00000173281.5	0.38	0.14	0.16	0.2	15.82	17.63	3.37	2.23	0.45	1.69	2	0	0	2	0	0
ENSG00000173285.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173295.7	0.39	4.56	6.56	4.46	0	0.89	0.67	0	0	2.12	2.37	2	0	11	0	0
ENSG00000173302.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173320.12	2.03	12.37	6.38	10.33	0.18	0.55	0.04	7.07	18.5	6.31	104	362	306	367	117	35
ENSG00000173327.8	3.05	0.68	0.97	1.26	0.93	2.06	3.41	0.31	1.06	2.15	8	44	46	1	0	1
ENSG00000173334.4	69.05	77.67	123.4	56.64	604.75	661.05	543.71	51.58	10.47	31.61	11	11	21	53	1	0
ENSG00000173335.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173338.12	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0
ENSG00000173349.5	1.92	0	1.81	0	6.23	0	0	0.16	0	0	0	0	0	0	0	1
ENSG00000173357.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173366.11	0	0.37	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0
ENSG00000173369.16	2.4	0.18	0.73	0.32	4.22	61.39	78.52	3.76	1.09	0.49	4	2	25	3	0	17
ENSG00000173372.17	0	0	0	0	0	11.91	22.89	1.9	0.59	0	0	11	6	2	0	0
ENSG00000173376.14	0.37	1.48	4.62	2.97	0	0.06	0	0	0	0	16	0	21	31	0	2
ENSG00000173389.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173391.9	0.9	0.49	9.95	10.19	2867.38	1609.33	2381.12	332.91	19.55	59.39	0	0	0	9	0	0
ENSG00000173401.9	2.14	2.39	0.91	2.6	4.65	0	1.26	2.73	0.57	0	4	4	5	7	5	0
ENSG00000173402.11	213.95	70.21	153.76	75.24	0.53	1.59	2.49	2.87	3.65	4.28	22	57	78	147	1	16
ENSG00000173404.5	0	0	0	0	0	0	0	0	1.25	0.62	18	70	82	0	0	0
ENSG00000173406.15	8.2	3.25	5.1	2.03	0.38	0.74	0.52	7.66	2.03	18.62	46	158	164	195.05	11	5
ENSG00000173409.14	32.45	38.81	55.7	38.85	14.71	7.75	10.12	7.7	14.9	30.6	34	110	122	358	33	9
ENSG00000173418.11	17.23	14.2	44.17	31.97	93.84	56.92	101.65	25.17	16.24	17.33	138	167	202	158	32	67
ENSG00000173421.17	0	0.13	0.12	0.22	3.31	1.85	2.35	0.47	0	0	0	0	0	1	8	0
ENSG00000173431.2	0	0	1.32	1.29	0	1.99	1.38	0	0	0	0	0	0	0	0	0
ENSG00000173432.12	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173436.15	117.18	163.39	213.73	171.68	184.88	137.48	234.12	197.2	110.37	192.27	340	418	627	552	192	66
ENSG00000173442.13	0.87	0.15	0.86	1.36	5.06	3.05	2.09	0	0.03	0	0	0	0	7	0	0
ENSG00000173451.7	18.15	18.29	17.89	17.11	33.72	14.44	10.97	5.51	10.54	16.1	4	30	28	10	7	4
ENSG00000173452.13	0	0.08	0.57	0.07	0	0.35	0.05	5.51	0.4	5.92	22	87	9	61	17	1
ENSG00000173456.4	6.46	3.03	5.15	3.31	0	2.5	2.41	0	2	0.79	16.86	39.73	24.08	27.62	0	0
ENSG00000173457.11	2.61	1.37	7.05	1.37	0	2.15	1.94	0	0.19	0	9	44.19	75.34	2	12	17
ENSG00000173464.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173465.7	5.53	2.1	5.35	1.08	0	0	0.6	0	0	0	52	51	108	3.98	22	50
ENSG00000173467.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173473.11	23.77	28.57	34.7	35.62	33.75	22.17	13.75	34.52	43.38	34.71	6	25	40	490	17	1
ENSG00000173480.11	2.66	7.02	12.75	8.39	3.63	2.69	2.8	2.46	2.76	2.65	3	27.99	11.3	15.74	0	0
ENSG00000173482.16	32.76	53.81	62	66.27	12.95	19.63	14.11	12.78	10.72	14.22	115.19	342.67	340.78	371.69	26.11	35.29
ENSG00000173486.13	26.16	9.54	12.01	13.53	0	2.31	3.19	0	2.11	1.11	132	138	153	363.53	130	137
ENSG00000173511.9	62.78	33.94	44.33	30.21	4.16	22.71	23.68	10.91	22.23	8.9	89	131	275	0	43	22
ENSG00000173517.10	17.89	39.25	58.07	71.34	218.82	89.75	109.05	63.54	44.05	45.97	24	99	72	334	17	48
ENSG00000173530.6	0	0	0	0.24	16.54	11.05	11.98	0.85	0.09	0.61	0	0	0	1	0	0
ENSG00000173531.15	17.57	31.72	33.25	21.98	4.12	2.35	5.33	0.14	2.77	1.77	0	1	4.68	1.76	0	0
ENSG00000173535.14	0	0	0	0	0	1.35	0.29	0	0	0	0	0	0	0	0	0
ENSG00000173540.12	1.21	0.77	1.59	1.86	0	1.59	1.16	0.41	0.11	0	14.62	46.74	34.37	7.28	35	26
ENSG00000173542.8	41.3	24.57	17.6	19.98	73.18	59.45	48.31	11.73	5.23	13.37	41	64	24	307	6	3
ENSG00000173545.5	2.69	8.78	6.78	2.68	14.35	14.81	17.3	5.99	11.72	6.23	114	84	205	110	32	17
ENSG00000173546.7	0.19	0.08	0.28	0.16	0	0.06	0.1	1.05	0.06	0.91	0	0	0	0	0	0
ENSG00000173548.8	13.29	4.37	10.99	4.09	0.96	2.8	3.55	1.3	0.38	0.78	0	0	0	4	0	0
ENSG00000173557.15	0	0	0.13	0	0	0	0	0	0	0	3	16	12	0	1	0
ENSG00000173559.12	0.79	0.18	2.17	2.89	374.82	158.18	176.23	15.1	7.57	9	2	2	3	301	16	0
ENSG00000173567.15	0.53	0.58	0.54	0.31	0	0.05	0.13	0	0	0	0	0	2	0	0	0
ENSG00000173572.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173575.21	63.9	106.35	118.99	132.82	429.31	180.22	190.65	52.06	66.07	60.74	71	146	229	1620.15	70	37
ENSG00000173578.7	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0
ENSG00000173581.7	0	0.44	1.34	0.14	0	0.09	0	0	0	0	25	89	62	1	0	0
ENSG00000173585.16	0	0.95	0.25	0.24	0	0.45	0	0	0.13	0	0	0	0	0	0	0
ENSG00000173588.14	6.01	22.33	19.67	22.38	31.86	14.56	11.64	7.81	12.95	7.91	10	21	25	135.84	4	0
ENSG00000173597.9	0	0.07	0	0.04	0.14	0	0.81	0	0	0	0	0	1	1	0	0
ENSG00000173598.14	23.62	40.28	30.21	27.82	29.29	21.29	34.6	10.18	6.4	16.17	129.6	258.1	205.34	1583.12	147.63	155.82
ENSG00000173599.14	5.79	1.82	5.98	2.13	0	0.13	0.16	0	0.21	0.11	34.23	103.94	108.14	2	33	19.74
ENSG00000173610.12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000173611.17	4.43	9.36	10.91	19.27	3.46	1.59	1.21	2.94	2.88	10.4	58	147	175	75	22	3
ENSG00000173612.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173614.14	6.45	7.91	15.12	5.7	0.26	4.01	1.7	4	2.58	2.76	13	15.67	31	36	14	2
ENSG00000173621.9	0.11	0	0.13	0	0	0	0	0	0	0	3.77	10.06	18.86	0	0	1.26
ENSG00000173626.9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1
ENSG00000173627.8	0.49	0.24	0.33	0.93	0	1.88	0.08	0.66	2.67	1.58	0	0	0	0	0	0
ENSG00000173638.19	1.27	2.18	2.39	0.21	2.72	0.79	1.44	0.17	0	0.12	19	28.44	67.41	1	6.01	5.57
ENSG00000173641.17	1.16	0	0.62	0.42	0	0.18	0.15	0	0.23	0	0	0	0	37	78	150
ENSG00000173653.7	0.8	0.58	1.59	1.98	0.37	1.46	1.69	1.58	0.99	0	9.51	39.07	60.21	8	4.06	40
ENSG00000173660.12	157.97	188.25	215.48	133.02	105.04	180.97	188.59	105.78	118.49	175.89	543.79	865.87	934.65	1278.98	125.99	144.97
ENSG00000173662.21	0.46	0.18	0.18	0.17	0	0.11	0.25	0	0	0	0	2	0	0	0	0
ENSG00000173673.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173674.11	9.01	16.83	27.9	19.51	56.94	20.07	12.69	7.64	24.5	24.88	210	444	384	536.42	57.14	125
ENSG00000173678.14	1.05	0.58	0.3	0.13	0	0.5	0.2	0.28	0.07	0	0	0	2.72	0	0	0
ENSG00000173679.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173681.16	6.09	15.16	19.68	23.03	10.73	6.28	5.59	6.93	7.04	8.58	12	47	46	346	1	39
ENSG00000173692.13	38.55	101.02	106.18	101.12	57.4	47.16	86.07	36.73	33.26	41.25	421	590	728	3055	402	295
ENSG00000173698.18	1.02	0.3	0.34	0.16	1.15	0.27	0.15	0.51	0.1	0.28	1	0	0	0	0	0
ENSG00000173699.16	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173702.7	0	1.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173705.9	1.04	0.35	1.67	0.97	0.42	0.15	0.09	3.34	1.29	8.14	5	16	42	156	41	2
